Country,State,District,Year,Class Studying,"Schools Surveyed (UOM:Number), Scaling Factor:1","Students Surveyed (UOM:Number), Scaling Factor:1","Average Performance Of Students On E302 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E303 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E304 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E305 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E307 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E309 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E310 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E311 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E313 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E314 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On L304 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On L312 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M301 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M302 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M303 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M304 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M305 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M306 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M309 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M311 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M312 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M317 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M318 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M319 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1"
India,Maharashtra,Parbhani,"Calendar Year (Jan - Dec), 2017",3,183,4299,59.18,60.84,70.06,66.29,74.48,68.78,69.43,65.95,36.59,79.13,74.3,66.88,66.76,76.83,58.44,68.04,60.43,63.92,82.17,52.66,39.57,75.44,58.16,80.32
India,Maharashtra,Pune,"Calendar Year (Jan - Dec), 2017",3,183,4149,62.18,67.92,70.77,68.73,74.25,63.97,67.03,55.82,46.39,83.66,73.54,65.78,57.67,77.58,55.6,60.59,65,57.19,84.53,56.15,41.62,66.23,55.98,85.25
India,Maharashtra,Raigad,"Calendar Year (Jan - Dec), 2017",3,177,3258,64.09,68.41,74.28,69.8,77.09,69.15,70.63,60.31,42.43,83.7,74.62,69.69,62.25,79.93,62.14,68.65,62.52,63.72,87.05,55.17,44.11,81.03,61.92,84.81
India,Maharashtra,Ratnagiri,"Calendar Year (Jan - Dec), 2017",3,174,2532,77.84,77.64,82.49,83.29,87.81,78.04,85.31,59.95,50.48,94.08,81.71,75.05,74.53,88.51,71.93,71.27,77.96,73.46,94.21,77.34,28.37,84.12,68.74,93.72
India,Maharashtra,Sangli,"Calendar Year (Jan - Dec), 2017",3,183,4206,56.7,69.16,69.76,66.44,75.71,65.96,66.76,55.78,43.37,83.45,73.29,63.38,55.08,75.89,55.75,62.7,61.98,55.49,84.49,54.1,37.03,70.61,58.06,80.74
India,Maharashtra,Satara,"Calendar Year (Jan - Dec), 2017",3,183,3474,77.2,77.97,80.19,79.19,85.81,76.28,82.38,68.48,57.87,93.87,81.8,74.96,67.75,87.48,68.26,72.02,77.12,71.33,92.66,65.19,40.73,79.97,66.85,92.83
India,Maharashtra,Sindhudurg,"Calendar Year (Jan - Dec), 2017",3,180,2217,79.03,79.39,82.68,82.68,87.09,81.32,82.95,67.79,60.72,92.83,82.73,78.92,72.63,86.33,69.91,72.19,77.13,69.55,93.26,71.58,39.28,80.11,67.6,92.15
India,Maharashtra,Solapur,"Calendar Year (Jan - Dec), 2017",3,183,4011,69.26,72.51,78.62,72.7,82.51,73.95,76.07,70.16,48.14,85.71,80.04,75.36,72.74,84.14,66.63,75.24,72.1,73.37,86.77,63.7,50.37,80.55,69.03,85.04
India,Maharashtra,Thane,"Calendar Year (Jan - Dec), 2017",3,183,4356,53.44,62.47,67.14,65.81,67.65,55.01,63.64,51.38,33.55,74.1,68.9,63.73,56.88,71.01,49.78,62.5,56.82,54.06,80.92,57.45,32.49,71.49,52.97,77.89
India,Maharashtra,Unknown Districts Of India,"Calendar Year (Jan - Dec), 2017",3,183,4548,,,,,,,,,,,,,,,,,,,,,,,,
India,Maharashtra,Wardha,"Calendar Year (Jan - Dec), 2017",3,183,3024,48.12,62.33,60.1,56.8,65.01,58.48,59.33,48.21,40.63,75.69,59.33,55.34,48.8,63.39,41.12,53.13,49.11,45.34,79.54,47.9,35.5,60.02,50.05,67.86
India,Maharashtra,Washim,"Calendar Year (Jan - Dec), 2017",3,183,3618,58.37,73.66,74.11,71.85,77.86,73.61,74.3,58.62,34.23,84.41,73.67,69.97,61.31,78.77,62.11,68.53,63.02,68.41,86.29,56.56,35.23,74.96,62.3,84.25
India,Maharashtra,Yavatmal,"Calendar Year (Jan - Dec), 2017",3,183,3564,46.55,58.2,61.28,55.56,60.1,48.66,56.06,44.44,32.25,68.01,61.67,53.97,50.24,64.81,45.1,51.77,52.19,48.74,76.08,37.44,34.41,63.13,43.12,70.29
India,Manipur,Bishnupur,"Calendar Year (Jan - Dec), 2017",3,153,1155,65.97,56.83,68.31,68.31,77.85,63.86,77.66,59.22,38.8,81.82,63.71,63.53,47.77,68.57,64.92,61.04,56.62,65.71,87.32,11.88,40.98,58.44,54.33,82.08
India,Manipur,Chandel,"Calendar Year (Jan - Dec), 2017",3,177,1275,63.06,72.63,71.53,77.06,77.05,66.81,66.82,51.06,41.58,76.71,73.06,67.95,73.19,80.94,65.62,71.53,67.76,56.94,88.94,60.43,31.05,80.94,62.48,87.76
India,Manipur,Churachandpur,"Calendar Year (Jan - Dec), 2017",3,174,2034,62.68,70.86,68.4,73.01,72.96,57.95,57.96,49.12,42.33,74.78,71.47,67.79,62.93,79.35,61.53,64.01,66.81,52.65,88.45,51.7,34.97,75.81,56.02,85.84
India,Manipur,Imphal East,"Calendar Year (Jan - Dec), 2017",3,174,1953,57.91,65.72,69.71,71.58,69.36,52.25,67.43,57.14,41.19,71.12,67.68,66.94,61.11,67.13,58.96,62.6,64.98,65.75,89.06,50.15,34.28,69.28,55.94,81.87
India,Manipur,Imphal West,"Calendar Year (Jan - Dec), 2017",3,126,909,54.46,60.38,65.86,73.6,70.92,52.78,59.41,52.48,45.28,70.63,60.63,65.48,54.86,69.31,57.47,55.61,64.69,51.16,83.33,45.83,28.93,77.23,57.65,81.52
India,Manipur,Senapati,"Calendar Year (Jan - Dec), 2017",3,183,1824,65.95,65.42,68.65,74.84,77.04,68.69,67.93,56.41,41.69,78.13,72.66,68.75,65.34,84.21,64.81,64.47,68.42,62.34,89.92,50.8,30.17,82.07,62.02,84.38
India,Manipur,Tamenglong,"Calendar Year (Jan - Dec), 2017",3,120,1050,78,77.78,76.89,85.71,81.85,78.77,69.14,66,53.8,90,83.34,78.74,74.58,86,74.06,76.57,77.43,67.14,91.17,51.96,53.22,80.86,66.33,88.57
India,Manipur,Thoubal,"Calendar Year (Jan - Dec), 2017",3,171,1743,56.8,62.54,69.47,75.99,73.72,59.4,68.5,54.56,32.16,78.31,66.97,68.57,66.44,70.57,62.12,67.47,65.06,62.65,83.33,66.78,33.92,70.74,60.33,86.23
India,Manipur,Ukhrul,"Calendar Year (Jan - Dec), 2017",3,165,1128,75.8,77.97,76.5,83.24,83.13,66.33,73.14,65.16,59.32,83.51,79.52,76.54,73.37,91.49,71.5,79.79,70.74,68.09,92.59,51.76,25.42,84.57,65.21,90.96
India,Meghalaya,East Garo Hills,"Calendar Year (Jan - Dec), 2017",3,177,2013,34.13,42.55,48.49,49.48,56.47,25.15,42.32,35.02,29.48,57.53,51.55,47.06,45.03,61.7,39.43,44.71,27.12,38,66.2,26.02,20.36,61.55,31.98,61.7
India,Meghalaya,East Jaintia Hills,"Calendar Year (Jan - Dec), 2017",3,183,2604,44.35,43.59,50.88,53.34,52.72,35.31,44.35,37.21,37.06,58.29,52.47,45.05,53.08,67.17,43.77,46.89,46.66,39.86,68.54,33.26,15.38,64.86,38.01,71.54
India,Meghalaya,East Khasi Hills,"Calendar Year (Jan - Dec), 2017",3,183,2814,61.51,63.6,70.14,75.96,77.89,53.93,65.46,56.18,46.25,80.17,72.52,68.46,68.15,84.12,60.93,65.67,68.23,59.81,90.6,42.68,31.91,75.48,55.5,86.03
India,Meghalaya,North Garo Hills,"Calendar Year (Jan - Dec), 2017",3,180,1683,43.85,43.21,53.09,56.33,61.58,29.54,50.09,44.92,40.71,62.39,56.74,49.48,56.23,66.31,47.18,53.12,30.84,44.56,70.51,24.91,23.93,66.49,38.98,74.15
India,Meghalaya,Ri Bhoi,"Calendar Year (Jan - Dec), 2017",3,177,2040,62.65,57.85,64.07,68.46,69.71,32.39,59.71,50.44,47.38,76.91,66.44,63.06,57.32,77.5,51.55,52.13,62.21,47.21,84.48,46.48,26.15,69.26,44.36,83.24
India,Meghalaya,South Garo Hills,"Calendar Year (Jan - Dec), 2017",3,180,1647,43.53,40.88,51.17,53.46,61.47,32,48.82,40.26,34.31,66.12,60.98,50.16,55.64,67.03,47.05,56.83,33.7,45.9,71.81,33.82,21.53,72.5,37.92,73.77
India,Meghalaya,South West Garo Hills,"Calendar Year (Jan - Dec), 2017",3,171,1407,50.32,59.83,60.28,66.2,71.6,42.17,64.39,56.29,26.78,74.2,70.09,62.47,57.61,74.84,54.54,63.97,37.95,55.22,78.95,27.83,21.34,73.77,41.92,77.4
India,Meghalaya,South West Khasi Hills,"Calendar Year (Jan - Dec), 2017",3,171,1617,47.5,49.61,62.97,67.72,71.04,52.67,62.34,55.29,51.55,73.84,67.24,62.04,67.62,78.29,56.81,63.36,56.22,54.92,83.06,48.04,20.16,73.65,47.11,76.81
India,Meghalaya,West Garo Hills,"Calendar Year (Jan - Dec), 2017",3,180,2217,54.53,57.98,62.42,68.27,72.23,47.66,60.89,56.16,39.63,74.7,67.97,64.09,67.77,76.05,58.72,62.18,46.28,63.06,80.81,42.42,18.62,70.64,52.05,79.97
India,Meghalaya,West Jaintia Hills,"Calendar Year (Jan - Dec), 2017",3,180,2607,42,44.44,49.39,50.69,51.34,27.69,45.34,36.02,27.08,56.85,51.68,46.21,53.55,59.84,43.54,41.2,43.15,36.36,68.95,35.24,27.55,55.12,37.91,65.71
India,Meghalaya,West Khasi Hills,"Calendar Year (Jan - Dec), 2017",3,180,2421,50.31,45.86,55.83,58.98,65.68,25.25,58.24,47.21,31.58,68.9,58.54,52.94,56.25,66.29,46.49,47.52,46.1,36.56,76.29,29.66,18.3,61.83,36.76,71.5
India,Mizoram,Aizawl,"Calendar Year (Jan - Dec), 2017",3,177,1836,63.4,75,78.45,78.19,85.43,45.72,82.19,61.44,55.19,85.78,76.9,69.67,30.1,67.32,63.35,65.69,42.97,74.67,93.7,42.11,32.14,75.82,63.52,91.67
India,Mizoram,Champhai,"Calendar Year (Jan - Dec), 2017",3,171,2220,60.54,72.65,75.1,69.19,79.13,54.77,75.27,56.76,41.82,84.73,71.22,64.19,12.81,74.32,63.35,67.64,37.84,68.24,89.13,25.61,38.87,78.65,60.16,86.08
India,Mizoram,Kolasib,"Calendar Year (Jan - Dec), 2017",3,168,1707,68.01,84.59,83.01,74.52,85.51,67.24,86.99,72.93,62.37,86.64,80.02,70.33,10.17,81.2,69.33,74.34,38.66,78.38,93.87,24.14,49.1,84.18,66.55,89.46
India,Mizoram,Lawngtlai,"Calendar Year (Jan - Dec), 2017",3,168,1716,48.43,55.87,56.71,58.74,60.02,41.24,57.17,38.99,26.69,57.52,59.14,53.15,30.58,61.01,44.32,55.16,34.27,41.61,77.49,35.74,23.84,63.46,36.68,73.08
India,Mizoram,Lunglei,"Calendar Year (Jan - Dec), 2017",3,150,1464,53.48,65.43,67.2,65.68,71.35,55.1,72.34,53.89,46.91,70.7,67.21,61.43,14.08,68.03,59.54,61.37,37.5,58.4,83.04,26.53,34.98,74.18,52.36,82.58
India,Mizoram,Mamit,"Calendar Year (Jan - Dec), 2017",3,156,1758,59.73,70,70.99,62.8,71.26,50.68,74.06,60.58,46.9,72.18,70.07,61.37,22.13,69.97,60.69,65.27,41.3,56.14,79.22,24.32,43.45,67.92,50.77,80.03
India,Mizoram,Serchhip,"Calendar Year (Jan - Dec), 2017",3,90,738,58.13,74.58,75.32,70.12,77.81,62.5,84.96,63.82,48.31,88.62,74.55,62.2,5.47,68.7,60.16,65.24,37.4,68.7,89.01,21.88,34.75,76.42,55.81,83.74
India,Mizoram,Siaha,"Calendar Year (Jan - Dec), 2017",3,165,1311,59.27,69.68,67.7,76.43,75.19,65.74,64.99,54.69,45.7,71.4,75.38,65.54,68.06,82.15,62.02,67.28,68.19,59.95,91.49,56.48,28.05,81.46,55.63,85.35
India,Nagaland,Dimapur,"Calendar Year (Jan - Dec), 2017",3,156,2721,53.25,58.9,65.78,67.42,69.98,60.18,59.76,51.82,42.42,58.77,64.32,62.6,68.03,69.79,54.41,55.18,60.31,60.2,86.49,57.52,29.67,79.27,52.39,84.23
India,Nagaland,Kiphire,"Calendar Year (Jan - Dec), 2017",3,138,1077,58.5,70.34,67.24,70.06,72.77,56.07,59.61,38.72,27.59,70.47,69.69,62.67,60.98,73.82,58.15,64.48,59.89,51.53,77.38,34.58,35.86,77.44,61.79,72.14
India,Nagaland,Kohima,"Calendar Year (Jan - Dec), 2017",3,123,1497,44.09,51.25,54.96,59.82,60.29,43.24,48.9,40.68,27.5,68.54,57.41,52.3,59.27,70.14,48.37,57.01,53.11,44.49,86.33,42.86,15,79.16,44.43,84.77
India,Nagaland,Longleng,"Calendar Year (Jan - Dec), 2017",3,111,708,47.88,48.25,56.05,53.6,57.54,50,43.64,34.75,34.21,55.93,63.47,50.85,53.69,67.37,49.33,51.27,47.46,33.9,81.43,31.15,25.44,80.08,32.33,67.8
India,Nagaland,Mokokchung,"Calendar Year (Jan - Dec), 2017",3,162,1317,66.06,73.66,76.52,79.95,86.42,60.08,77.22,66.74,50,80.87,78.36,77.9,75.89,80.64,71,69.02,74.72,69.02,95.04,65.22,39.78,88.38,67.08,92.48
India,Nagaland,Mon,"Calendar Year (Jan - Dec), 2017",3,165,2424,47.28,53.3,55.21,56.31,58.18,49.52,45.17,31.06,29.7,61.01,59.38,51.86,50,70.67,45.71,54.83,46.91,37.75,79.28,33.33,23.6,72.65,42.61,76.98
India,Nagaland,Peren,"Calendar Year (Jan - Dec), 2017",3,159,1827,45.65,49.64,57.52,58.29,64.65,45.65,45.32,42.36,33.7,67,63.05,58.65,56.76,56.98,49.13,51.15,54.68,47.13,80.68,42.94,24.64,69.95,48.84,76.35
India,Nagaland,Phek,"Calendar Year (Jan - Dec), 2017",3,153,1272,65.09,80,70.2,75.35,79.94,60.68,74.06,58.49,48.42,85.85,81.11,73.3,69.02,77.12,69.87,70.75,74.76,66.27,96.58,50.85,34.74,77.59,63.31,93.16
India,Nagaland,Tuensang,"Calendar Year (Jan - Dec), 2017",3,174,2481,62.03,72.24,73.11,74.55,76.02,64.52,72.19,55.86,43.73,77.75,73.85,71.75,65.95,77.51,64.9,68.8,71.34,61.67,91.25,46.67,31.2,84.16,60.94,84.89
India,Nagaland,Wokha,"Calendar Year (Jan - Dec), 2017",3,75,483,72.67,79.22,80.72,81.37,81.22,84.52,79.5,66.46,55.84,73.29,81.43,79.25,73.21,92.55,79.31,74.53,78.26,64.6,90.76,53.57,33.77,88.2,73.65,86.96
India,Nagaland,Zunheboto,"Calendar Year (Jan - Dec), 2017",3,102,651,65.44,65.38,75.1,76.96,82.27,77.88,75.58,51.15,50.96,80.18,76.18,73.55,71.24,89.86,65.45,75.35,76.96,68.66,88.16,38.94,38.46,90.78,67.29,90.78
India,Odisha,Anugul,"Calendar Year (Jan - Dec), 2017",3,183,2934,58.08,59.75,57.08,64.57,68.11,70.88,65.13,51.33,45.17,72.29,65.03,65.71,67.11,73.82,59.83,64.83,63.7,66.46,75.09,8.76,37.78,70.45,57.02,73.93
India,Odisha,Balangir,"Calendar Year (Jan - Dec), 2017",3,165,2466,56.08,61.58,62.32,63.14,69.02,54.33,71.29,55.6,42.36,70.19,67.17,66.45,64.42,71.05,55.39,60.46,63.38,67.64,81.19,11.06,36.21,72.14,60.28,76.16
India,Odisha,Baleshwar,"Calendar Year (Jan - Dec), 2017",3,183,3213,55.09,60.82,60.37,68.3,70.49,63.36,70.77,59.29,43.28,75.16,67.11,66.91,62.62,76.47,60.07,68.72,66.85,64.15,80.02,10.84,48.51,76.1,63.04,80.86
India,Odisha,Bargarh,"Calendar Year (Jan - Dec), 2017",3,177,2793,54.99,53.8,54.31,59.18,66.81,48.94,63.59,54.78,42.3,68.96,65.21,63.78,59.79,73.68,50.39,65.36,59.94,60.69,77.44,14.68,41.43,66.17,53.59,72.72
India,Odisha,Bhadrak,"Calendar Year (Jan - Dec), 2017",3,180,2760,54.46,62.2,58.04,65.33,68.92,63.44,68.91,51.2,46.59,72.83,67.85,62.37,68.92,80.43,61.61,66.68,69.89,63.37,81.24,14.41,40.22,69.24,63.11,85
India,Odisha,Boudh,"Calendar Year (Jan - Dec), 2017",3,183,1989,47.06,49.37,53.97,54,60.71,48.12,58.52,52.19,30.5,66.82,66.27,61.15,59.86,68.48,50.51,60.78,53.85,54.3,72.27,12.17,35.22,66.82,47.58,73.76
India,Odisha,Cuttack,"Calendar Year (Jan - Dec), 2017",3,180,2667,70.53,78.18,66.59,75.59,79.33,69.71,79.87,65.35,55.23,85.94,75.79,73.59,72.72,83.46,69.42,74.69,79.3,75.59,89.32,15.37,49.55,79.53,70.1,89.43
India,Odisha,Deogarh,"Calendar Year (Jan - Dec), 2017",3,135,1575,59.81,53.05,63.04,68.86,70.88,57.41,67.43,54.67,53.44,73.14,67.94,61.79,68.06,82.1,64.05,72,65.9,67.62,85.64,9.51,27.86,76.38,59.68,88.38
India,Odisha,Dhenkanal,"Calendar Year (Jan - Dec), 2017",3,177,2703,39.96,45.76,47.83,52.55,53.8,47.9,54.16,41.62,29.02,60.49,56.81,50.21,50.44,60.82,42.48,51.05,45.73,44.06,61.9,13.25,28.57,54.72,41.29,68.04
India,Odisha,Gajapati,"Calendar Year (Jan - Dec), 2017",3,93,2088,39.94,52.72,51.74,50.57,53.6,36.89,54.31,39.22,32.09,62.21,54.34,48.45,52.59,61.49,43.47,50.36,44.11,46.55,74.64,12.97,37.25,62.07,44.4,70.26
India,Odisha,Ganjam,"Calendar Year (Jan - Dec), 2017",3,183,3030,51.88,63.29,62.08,69.8,74.03,63.44,73.27,57.72,52.13,82.08,69.88,69.49,73.89,78.32,67.13,71.39,74.36,71.49,87.03,17.99,42.39,78.12,67.99,86.14
India,Odisha,Jagatsinghapur,"Calendar Year (Jan - Dec), 2017",3,36,645,87.44,74.31,76.47,75.58,87.07,58.49,80.93,73.49,69.72,93.02,81.4,85.58,75,83.26,75.75,75.35,80,87.91,93.21,13.21,64.22,72.56,76.44,84.65
India,Odisha,Jajapur,"Calendar Year (Jan - Dec), 2017",3,108,1917,59.62,58.79,58.14,66.28,70.31,57.06,66.04,59.94,51.76,70.27,66.73,60.5,62.88,78.72,63.97,73.79,65.1,66.51,78.26,12.27,47.92,74.02,60.55,78.72
India,Odisha,Jharsuguda,"Calendar Year (Jan - Dec), 2017",3,24,411,45.99,58.82,58.12,59.12,59.71,59.42,50.36,45.26,50,62.04,62.85,58.1,45.65,62.77,43.15,58.03,54.74,40.88,84.39,15.94,35.29,61.31,47.25,78.1
India,Odisha,Kalahandi,"Calendar Year (Jan - Dec), 2017",3,174,2424,39.36,56.53,52.09,53.09,56.44,44.15,59.9,41.58,31.66,62.38,62.18,52.95,54.88,64.11,41.91,55.2,50.37,47.77,72.72,12.93,28.64,64.23,44.33,71.78
India,Odisha,Kandhamal,"Calendar Year (Jan - Dec), 2017",3,156,2433,36.37,44,46.76,47.41,54.38,37.23,49.82,37.24,37.75,60.54,52.29,46.29,47.69,54.01,42.45,43.34,48.58,45.5,66.56,9.98,30.25,46.49,37.12,69.17
India,Odisha,Kendrapara,"Calendar Year (Jan - Dec), 2017",3,183,2682,45.41,51.59,48.31,52.07,58.9,44.71,54.36,41.39,32.73,57.72,56.76,49.87,53.08,62.98,49.33,54.81,53.69,50.89,65.29,14.32,29.77,53.47,44.98,71.59
India,Odisha,Kendujhar,"Calendar Year (Jan - Dec), 2017",3,183,2763,45.06,46.39,49.79,53.8,57.73,49.57,58.31,46.8,32.82,61.89,58.84,53.33,56.03,63.63,45.92,55.27,54.4,51.03,74.02,20.26,29.54,64.71,47.41,66.23
India,Odisha,Khordha,"Calendar Year (Jan - Dec), 2017",3,183,2913,53.04,54.39,58.83,65.86,68.24,59.23,68.8,40.78,45.61,83.42,69.49,63.36,60.55,74.05,57.95,62.46,62.51,63.34,84.13,17.04,33.47,67.15,53.81,82.8
India,Odisha,Koraput,"Calendar Year (Jan - Dec), 2017",3,78,2004,33.38,36.69,42.46,44.16,46.49,42.12,40.57,40.12,30.18,47.9,48.64,40.6,48.64,54.19,40.28,50.37,45.36,42.37,54.87,7.58,27.22,52.99,39.51,61.38
India,Odisha,Malkangiri,"Calendar Year (Jan - Dec), 2017",3,138,2676,50,53.18,57.14,59.3,66.26,54.87,57.4,53.25,37.05,72.53,66.22,59.66,63.27,74.1,56.26,69.62,57.29,53.59,72.97,8.19,34.77,76.68,54.06,72.42
India,Odisha,Mayurbhanj,"Calendar Year (Jan - Dec), 2017",3,183,2802,33.62,50.11,48.61,49.73,52.74,42.89,46.68,41.65,36.93,59.1,55.48,47.32,54.14,61.13,45.19,51.34,49.46,43.25,67.22,16.56,30.45,57.71,44.14,69.06
India,Odisha,Nabarangpur,"Calendar Year (Jan - Dec), 2017",3,81,1905,57.17,66.02,59.88,63.46,63.11,65.95,61.73,51.97,40.13,66.77,65.29,61.42,65.95,74.96,57.14,64.17,60.47,61.1,71.72,11.96,43.69,79.37,56.74,76.69
India,Odisha,Nayagarh,"Calendar Year (Jan - Dec), 2017",3,177,2361,59.97,67.71,63.05,69.7,76.43,69.98,72.17,58.96,50.78,83.48,71.12,70.95,71.84,77.64,68.03,70.65,73.06,71.79,87.11,15.14,46.09,73.32,64.63,89.33
India,Odisha,Nuapada,"Calendar Year (Jan - Dec), 2017",3,141,1596,47.18,63.18,55.32,57.42,55.52,49.27,59.02,45.11,34.11,63.91,63.38,58.2,57.85,68.61,49.48,54.51,56.02,54.7,70.51,9.49,15.5,69.92,48.38,71.24
India,Odisha,Puri,"Calendar Year (Jan - Dec), 2017",3,165,2187,56.65,66.11,60.99,72.09,75.91,62.87,74.62,52.95,49.44,85.32,70.59,68.53,70.87,79.01,62.45,66.26,69.82,65.84,88.52,17.89,45.28,77.37,59.08,86.83
India,Odisha,Rayagada,"Calendar Year (Jan - Dec), 2017",3,132,1365,40.88,44.54,46.95,49.12,54.11,42.92,49.67,41.1,33.19,58.68,55.25,48.26,55.75,57.58,41.64,56.48,49.01,45.49,63.01,13.27,25.33,56.26,42.28,63.08
India,Odisha,Sambalpur,"Calendar Year (Jan - Dec), 2017",3,102,1716,26.57,38.11,44.87,41.52,46.97,32.87,39.69,33.92,34.27,63.46,55.26,41.15,48.08,46.5,32.66,45.02,40.73,45.28,67.02,14.69,30.42,46.68,31.82,67.13
India,Odisha,Sonepur,"Calendar Year (Jan - Dec), 2017",3,180,2184,45.05,66.39,55.45,60.71,65.1,49.04,62.91,48.21,40.77,70.05,63.12,61.79,60.96,66.62,54.04,60.85,63.6,67.58,79.01,10.41,46.83,66.35,52.41,69.51
India,Odisha,Sundargarh,"Calendar Year (Jan - Dec), 2017",3,168,2469,43.74,51.72,52.08,55.53,60.3,50.84,59.66,49.33,40.2,65.13,62.62,56.84,57.95,65.61,49.39,60.21,58.2,51.64,76.85,14.94,30.64,61.73,47.22,74.24
India,Puducherry,Karaikal,"Calendar Year (Jan - Dec), 2017",3,195,2340,63.21,48.32,63.56,77.31,68.29,46.31,56.92,44.74,31.78,67.05,65.99,66,64.12,78.08,59.19,67.63,58.33,65.77,91.35,56.49,32.04,83.72,62.29,76.54
India,Puducherry,Mahe,"Calendar Year (Jan - Dec), 2017",3,30,630,58.1,34.65,49.95,68.1,70.85,28.44,27.62,28.1,34.65,67.62,58.38,56,62.39,72.86,45.94,46.67,51.43,41.9,85.21,61.47,20.79,80,46.84,71.43
India,Puducherry,Pondicherry,"Calendar Year (Jan - Dec), 2017",3,582,8910,53,50,60.21,71.36,61.61,47.08,51.18,46.8,25.72,63.33,56.9,56.41,56.6,67.85,48.78,55.29,53.7,59.26,88.65,49.67,38.85,75.69,54.11,79.87
India,Puducherry,Yanam,"Calendar Year (Jan - Dec), 2017",3,48,918,42.81,52.9,58.74,67.97,64.55,52.98,43.79,43.79,18.06,63.73,58.59,55.36,56.95,78.1,52.69,58.66,58.17,67.32,82.65,51.66,51.61,72.22,54.87,75.82
India,Punjab,Amritsar,"Calendar Year (Jan - Dec), 2017",3,183,2880,54.58,59.24,61.5,61.56,54.61,40.26,59.48,40.94,25.9,68.23,64.72,62.19,54.98,72.19,50.29,58.28,54.9,58.65,72.29,20.13,31.12,69.58,47.75,69.17
India,Punjab,Barnala,"Calendar Year (Jan - Dec), 2017",3,183,3339,43.94,50.89,54.59,57.77,42.59,42.13,52.29,37.02,24.11,65.59,56.64,50.62,45.3,59.93,40.52,46.45,41.87,46.9,62.22,14.65,17.5,56.78,34.8,60.56
India,Punjab,Bathinda,"Calendar Year (Jan - Dec), 2017",3,183,4257,36.22,38.78,42.68,44.22,32.12,29.79,37.98,30.09,16.48,47.99,43.6,38.75,33.64,49.82,31.24,37.35,34.11,35.31,48.23,7.83,14.91,46.09,30.17,45.88
India,Punjab,Faridkot,"Calendar Year (Jan - Dec), 2017",3,183,2565,54.27,63.83,62.45,62.51,47.71,51.16,59.18,44.68,26.24,69.36,65.01,65.47,50.46,70.18,48.83,56.2,53.22,55.44,71.67,17.36,17.73,63.74,47.44,68.3
India,Punjab,Fatehgarh Sahib,"Calendar Year (Jan - Dec), 2017",3,183,2265,42.91,49.87,53.7,51.52,42.49,36.98,50.33,37.09,24.26,61.32,51.6,49.11,39.06,58.94,36.01,42.65,41.72,45.56,64.03,16.15,21.83,55.5,34.6,58.15
India,Punjab,Fazilka,"Calendar Year (Jan - Dec), 2017",3,180,3336,52.88,56.37,60.96,62.01,50.39,53.69,55.04,47.57,27.65,73.38,66.95,62.95,54.59,75.54,51.96,57.55,52.61,51.62,68.18,12.97,23.88,73.92,48.92,66.64
India,Punjab,Ferozepur,"Calendar Year (Jan - Dec), 2017",3,183,2592,62.04,72,67.69,72.22,54.11,59.91,69.1,51.04,37.88,79.98,71.78,69.63,61.39,78.24,57.31,65.16,63.54,61.69,79.44,10.93,37.41,74.88,55.02,77.66
India,Punjab,Gurdaspur,"Calendar Year (Jan - Dec), 2017",3,183,2355,55.67,56.22,64.92,66.82,55.87,54.64,66.11,48.28,39.64,78.85,68.64,67.8,58.4,78.85,54.39,64.01,58.85,56.94,74.81,18.55,27.98,77.07,50.03,72.1
